experimentId	observableId	measurement	time
experiment____model1_data1	S2IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	98.8927929034442	60
experiment____model1_data1	S2IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	98.5012834262906	60
experiment____model1_data1	S2IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.214843176890046	60
experiment____model1_data1	S2IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.125395354361285	60
experiment____model1_data1	S2IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.892363919665795	60
experiment____model1_data1	S2IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	1.37332121934813	60
experiment____model1_data1	S3IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	4.26234040200908	60
experiment____model1_data1	S3IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	95.5315185400341	60
experiment____model1_data1	S3IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.206141057956807	60
experiment____model1_data1	S4IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	12.2931736923098	60
experiment____model1_data1	S4IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	2.04826653496219	60
experiment____model1_data1	S4IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	85.658559772728	60
experiment____model1_data1	S23IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	84.4240920290022	60
experiment____model1_data1	S23IP_tS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	85.917063914309	60
experiment____model1_data1	S23IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	15.2668721616991	60
experiment____model1_data1	S23IP_tS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	13.1106354190217	60
experiment____model1_data1	S23IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.309035809298737	60
experiment____model1_data1	S23IP_tS4_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.972300666669304	60
experiment____model1_data1	S2IP_S2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	99.8957387583961	60
experiment____model1_data1	S2IP_S2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	99.8922620643039	60
experiment____model1_data1	S2IP_pS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0919641213899075	60
experiment____model1_data1	S2IP_pS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.107737935696112	60
experiment____model1_data1	S2IP_ppS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0122971202140044	60
experiment____model1_data1	S2IP_ppS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_S2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	100.0	60
experiment____model1_data1	S23IP_S2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	100.0	60
experiment____model1_data1	S23IP_pS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_pS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_ppS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_ppS2_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S3IP_S3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	100.0	60
experiment____model1_data1	S3IP_pS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S3IP_ppS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_S3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	100.0	60
experiment____model1_data1	S23IP_S3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	100.0	60
experiment____model1_data1	S23IP_pS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
experiment____model1_data1	S23IP_pS3_MSPL2_complexes_all_hepa16_no_single_complex_nExpID2	0.0	60
