observableId	simulationConditionId	simulation	time	observableParameters	noiseParameters	datasetId
pErk_rel	model1_data1	0.03562601663400499	0.0	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.07699231174258513	0.25	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.14402998418113844	1.0	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.03574741674348277	5.5	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.035609796661362776	7.0	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.035628205279640356	8.5	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.03562574483699764	10.0	s_pErk_rel_20140430_gel1	s_pErk_rel_20140430_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.8809709849473971	0.0	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	1.9038893235260133	0.25	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	3.561617295852907	1.0	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.8839730038123768	5.5	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.8805698925260571	7.0	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.8810251064429573	8.5	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pErk_rel	model1_data1	0.8809642638682561	10.0	s_pErk_rel_20140505_gel1	s_pErk_rel_20140505_gel1;sigma_pErk_rel	control
pMek_rel	model1_data1	0.053304487267850226	0.0	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
