observableId	simulationConditionId	simulation	time	datasetId
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	775.2977296644885	0	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1017.3684154380732	1	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1104.8519276179647	2	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1129.4824924755844	3	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	ctrl	1135.9041895344703	4	control
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	775.2977296644885	0	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	956.1071181150951	1	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	709.9529215779593	2	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	433.3851417515748	3	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
tumor_num	vvDD	264.52757975472423	4	virus
